N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
43,SK,"143,000","하락
				3,000",-2.05%,200,"103,679","72,503",23.77,"90,569",-44.80,-3.67,
44,한미반도체,"106,900","하락
				6,000",-5.31%,100,"103,281","96,614",11.60,"1,124,948",57.23,55.54,
45,삼성중공업,"11,700","하락
				550",-4.49%,"1,000","102,960","880,000",33.71,"10,645,851",-164.79,-4.22,
46,카카오뱅크,"21,100","하락
				300",-1.40%,"5,000","100,640","476,969",16.41,"683,218",23.34,6.00,
47,현대글로비스,"131,100","상승
				700",+0.54%,500,"98,325","75,000",49.16,"136,831",7.90,14.52,
48,삼성에스디에스,"125,000","하락
				3,000",-2.34%,500,"96,722","77,378",18.73,"131,634",13.64,8.22,
49,삼성전기,"126,600","하락
				2,700",-2.09%,"5,000","94,562","74,694",32.07,"273,783",19.11,5.50,
50,SK바이오팜,"115,200","상승
				100",+0.09%,500,"90,217","78,313",11.32,"191,385",157.16,-10.96,
51,KODEX CD금리액티브(합성),"1,059,670","상승
				70",+0.01%,0,"89,800","8,474",0.00,"393,700",N/A,N/A,
52,하이브,"214,000","하락
				1,500",-0.70%,500,"89,135","41,652",19.30,"181,842",-472.41,6.58,
53,대한항공,"23,000","상승
				50",+0.22%,"5,000","84,691","368,221",18.06,"842,530",7.82,11.46,
54,HD현대마린솔루션,"170,000","상승
				2,500",+1.49%,500,"75,565","44,450",5.31,"127,633",45.00,71.59,
55,포스코인터내셔널,"42,900","하락
				650",-1.49%,"5,000","75,471","175,923",7.07,"316,576",11.19,13.36,
56,TIGER 미국S&P500,"21,275","하락
				255",-1.18%,0,"72,846","342,400",0.18,"6,411,694",N/A,N/A,
57,S-Oil,"64,000","상승
				700",+1.11%,"2,500","72,053","112,583",75.38,"368,893",75.21,10.83,
58,DB손해보험,"99,800","하락
				1,500",-1.48%,500,"70,658","70,800",47.69,"134,897",3.54,15.66,
59,아모레퍼시픽,"117,600","상승
				1,900",+1.64%,500,"68,787","58,493",27.00,"283,179",11.76,3.72,
60,HD현대,"83,800","상승
				1,200",+1.45%,"1,000","66,196","78,993",21.40,"172,425",26.21,3.57,
61,TIGER CD금리투자KIS(합성),"55,535","상승
				5",+0.01%,0,"63,302","113,986",0.00,"210,123",N/A,N/A,
62,현대로템,"55,400","상승
				700",+1.28%,"5,000","60,465","109,142",28.85,"1,090,198",19.59,10.06,
63,KODEX 200,"33,190","하락
				445",-1.32%,0,"58,945","177,600",29.89,"6,014,745",N/A,N/A,
64,현대차2우B,"162,400","하락
				2,100",-1.28%,"5,000","58,073","35,759",61.86,"78,701",3.55,N/A,
65,삼양식품,"761,000","상승
				11,000",+1.47%,"5,000","57,326","7,533",14.39,"55,054",25.23,24.81,
66,SKC,"150,800","하락
				6,000",-3.83%,"5,000","57,105","37,868",15.10,"759,297",-18.50,-17.57,
67,LS ELECTRIC,"179,600","상승
				500",+0.28%,"5,000","53,880","30,000",23.01,"212,360",24.70,12.61,
68,HD현대미포,"134,200","하락
				4,500",-3.24%,"5,000","53,602","39,942",21.76,"395,299",-65.66,-6.96,
69,한진칼,"80,000","상승
				3,000",+3.90%,"2,500","53,410","66,762",22.00,"63,195",11.93,14.79,
